Collection_Number,Year of collection,Age,Ocean,Region,Locality,Order,Family,genus,cf. genus,species,subspecies,cf. species,Complete_name,total_length_cm,standard_length_cm,number_of_otoliths,left otolith length mm,right otolith length mm,Author_species,Collector,Compiler
OTO-470-1,2012,Recent,Caribbean,Bocas del Toro,Isla Colon,Perciformes,Acanthuridae,Acanthurus,,chirurgus,,,Acanthurus chirurgus ,22.7,,2,,,"Bloch, 1787",Marcos Alvarez,Maria Concepcion
OTO-470-10,1/9/2023,Recent,Pacific,Panama,Saboga,Perciformes,Acanthuridae,Acanthurus,,xanthopterus,,,Acanthurus xanthopterus,23,17.2,2,4.9,4.51,"Valenciennes in Cuvier & Valenciennes, 1835",Hannah Rempel,Brigida de Gracia
OTO-470-2,2012,Recent,Caribbean,Bocas del Toro,Isla Colon,Perciformes,Acanthuridae,Acanthurus,,chirurgus,,,Acanthurus chirurgus ,27,,1,,,"Bloch, 1787",Marcos Alvarez,Maria Concepcion
OTO-470-3,2013,Recent,Caribbean,Bocas del Toro,Isla Colon,Perciformes,Acanthuridae,Acanthurus,,chirurgus,,,Acanthurus chirurgus ,23.2,,2,,,"Bloch, 1787",Marcos Alvarez,Maria Concepcion
OTO-470-4,2013,Recent,Caribbean,Bocas del Toro,Isla Colon,Perciformes,Acanthuridae,Acanthurus,,coeruleus,,,Acanthurus coeruleus ,17.5,,2,,,"Bloch & Schneider, 1801",Marcos Alvarez,Maria Concepcion
OTO-470-5,2015,Recent,Caribbean,Bocas del Toro,Bahia Kusapín,Perciformes,Acanthuridae,Acanthurus,,coeruleus,,,Acanthurus coeruleus ,17.15,,2,,,"Bloch & Schneider, 1801",Ricardo Taylor,Brigida de Gracia
OTO-470-6,2015,Recent,Caribbean,Bocas del Toro,Bahia Kusapín,Perciformes,Acanthuridae,Acanthurus,,bahianus,,,Acanthurus bahianus ,15.61,,2,,,"Castelnau, 1855",Ricardo Taylor,Brigida de Gracia
OTO-470-7,31-08-2023,Recent,Pacific,Panama,Saboga,Perciformes,Acanthuridae,Prionurus,,laticlavius,,,Prionurus laticlavius,41.4,31.5,2,5.22,5.22,"Valenciennes, 1846",Phillip Sanchez,Brigida de Gracia
OTO-470-8,1/9/2023,Recent,Pacific,Panama,Saboga,Perciformes,Acanthuridae,Acanthurus,,xanthopterus,,,Acanthurus xanthopterus,25,18.6,2,4.84,5.05,"Valenciennes in Cuvier & Valenciennes, 1835",Phillip Sanchez,Brigida de Gracia
OTO-470-9,1/9/2023,Recent,Pacific,Panama,Saboga,Perciformes,Acanthuridae,Acanthurus,,xanthopterus,,,Acanthurus xanthopterus,21,15.5,2,4.62,4.58,"Valenciennes in Cuvier & Valenciennes, 1835",Phillip Sanchez,Brigida de Gracia
OTO-71-411,2016,Recent,Caribbean,Colón,Rio Indio,Albuliformes,Albulidae,Albula,,nemoptera,,,Albula nemoptera ,28.5,31.5,2,,,"Fowler, 1911",Desconocido,Brigida de Gracia
OTO-71-7,2013,Recent,Caribbean,Bocas del Toro,Isla Colon,Albuliformes,Albulidae,Albula,,vulpes,,,Albula vulpes ,38.5,,2,,,"Linnaeus, 1758",Marcos Alvarez,Maria Concepcion
OTO-352-621,2017,Recent,Caribbean,Bocas del Toro,Casa Blanca New,Perciformes,Apogonidae,Phaeoptyx,,xenus,,,Phaeoptyx xenus ,1.777,1.61,1,,,"Bohlke & Randall, 1968",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-352-829,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Apogonidae,Phaeoptyx,,pigmentaria,,,Phaeoptyx pigmentaria ,2.494,1.865,1,,1.54,"Poey, 1860",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-352-504,2017,Recent,Caribbean,Bocas del Toro,Cayo Adriana,Perciformes,Apogonidae,Phaeoptyx,,xenus,,,Phaeoptyx xenus ,2.418,1.875,2,,,"Bohlke & Randall, 1968",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-352-618,2017,Recent,Caribbean,Bocas del Toro,Casa Blanca New,Perciformes,Apogonidae,Apogon,,binotatus,,,Apogon binotatus ,2.465,1.916,1,,1.71,"Poey, 1867",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-352-679,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Apogonidae,Phaeoptyx,,pigmentaria,,,Phaeoptyx pigmentaria ,2.624,1.961,2,,1.51,"Poey, 1860",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-352-475,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Apogonidae,Phaeoptyx,,xenus,,,Phaeoptyx xenus ,2.55,1.984,2,,1.64,"Bohlke & Randall, 1968",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-352-474,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Apogonidae,Phaeoptyx,,xenus,,,Phaeoptyx xenus ,2.512,2.032,1,,1.5,"Bohlke & Randall, 1968",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-352-617,2017,Recent,Caribbean,Bocas del Toro,Casa Blanca New,Perciformes,Apogonidae,Apogon,,binotatus,,,Apogon binotatus ,2.641,2.111,2,,1.84,"Poey, 1867",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-352-468,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Apogonidae,Apogon,,binotatus,,,Apogon binotatus ,2.732,2.15,2,,1.85,"Poey, 1867",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-352-678,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Apogonidae,Phaeoptyx,,pigmentaria,,,Phaeoptyx pigmentaria ,2.797,2.18,2,,1.75,"Poey, 1860",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-352-480,2017,Recent,Caribbean,Bocas del Toro,Bocas del Toro,Perciformes,Apogonidae,Apogon,,binotatus,,,Apogon binotatus ,3.88,2.443,2,,,"Poey, 1867",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-352-685,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Apogonidae,Apogon,,binotatus,,,Apogon binotatus ,2.899,2.455,2,,2.19,"Poey, 1867",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-352-828,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Apogonidae,Phaeoptyx,,pigmentaria,,,Phaeoptyx pigmentaria ,3.245,2.491,1,,2.01,"Poey, 1860",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-352-677,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Apogonidae,Phaeoptyx,,pigmentaria,,,Phaeoptyx pigmentaria ,3.397,2.504,2,,2,"Poey, 1860",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-352-620,2017,Recent,Caribbean,Bocas del Toro,Casa Blanca New,Perciformes,Apogonidae,Phaeoptyx,,xenus,,,Phaeoptyx xenus ,3.383,2.626,2,,1.93,"Bohlke & Randall, 1968",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-352-473,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Apogonidae,Phaeoptyx,,xenus,,,Phaeoptyx xenus ,3.518,2.73,1,,2.11,"Bohlke & Randall, 1968",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-352-505,2017,Recent,Caribbean,Bocas del Toro,Cayo Adriana,Perciformes,Apogonidae,Apogon,,binotatus,,,Apogon binotatus ,3.642,2.78,2,,,"Poey, 1867",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-352-472,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Apogonidae,Phaeoptyx,,xenus,,,Phaeoptyx xenus ,3.51,2.79,1,,2.16,"Bohlke & Randall, 1968",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-352-684,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Apogonidae,Apogon,,binotatus,,,Apogon binotatus ,3.748,2.864,2,,2.43,"Poey, 1867",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-352-827,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Apogonidae,Phaeoptyx,,xenus,,,Phaeoptyx xenus ,3.769,2.865,1,,1.98,"Bohlke & Randall, 1968",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-352-479,2017,Recent,Caribbean,Bocas del Toro,Bocas del Toro,Perciformes,Apogonidae,Apogon,,binotatus,,,Apogon binotatus ,4,3.101,2,,,"Poey, 1867",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-352-616,2017,Recent,Caribbean,Bocas del Toro,Casa Blanca New,Perciformes,Apogonidae,Apogon,,binotatus,,,Apogon binotatus ,4.097,3.127,2,,2.63,"Poey, 1867",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-352-471,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Apogonidae,Phaeoptyx,,xenus,,,Phaeoptyx xenus ,4,3.142,1,,2.34,"Bohlke & Randall, 1968",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-352-619,2017,Recent,Caribbean,Bocas del Toro,Casa Blanca New,Perciformes,Apogonidae,Phaeoptyx,,xenus,,,Phaeoptyx xenus ,4.166,3.155,2,,2.41,"Bohlke & Randall, 1968",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-352-825,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Apogonidae,Apogon,,binotatus,,,Apogon binotatus ,4.111,3.161,2,,2.6,"Poey, 1867",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-352-683,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Apogonidae,Apogon,,binotatus,,,Apogon binotatus ,4.084,3.199,1,,2.64,"Poey, 1867",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-352-470,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Apogonidae,Phaeoptyx,,xenus,,,Phaeoptyx xenus ,4.168,3.21,2,,2.56,"Bohlke & Randall, 1968",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-352-507,2017,Recent,Caribbean,Bocas del Toro,Cayo Adriana,Perciformes,Apogonidae,Apogon,,binotatus,,,Apogon binotatus ,4.164,3.26,2,,2.7,"Poey, 1867",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-352-826,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Apogonidae,Apogon,,binotatus,,,Apogon binotatus ,4.524,3.475,2,,2.92,"Poey, 1867",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-352-824,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Apogonidae,Apogon,,binotatus,,,Apogon binotatus ,4.555,3.491,2,,2.78,"Poey, 1867",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-352-469,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Apogonidae,Phaeoptyx,,xenus,,,Phaeoptyx xenus ,4.916,3.73,1,,2.78,"Bohlke & Randall, 1968",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-352-506,2017,Recent,Caribbean,Bocas del Toro,Cayo Adriana,Perciformes,Apogonidae,Apogon,,binotatus,,,Apogon binotatus ,4.642,3.77,2,,3.13,"Poey, 1867",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-352-823,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Apogonidae,Apogon,,binotatus,,,Apogon binotatus ,5.113,3.938,2,,3.43,"Poey, 1867",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-352-822,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Apogonidae,Apogon,,binotatus,,,Apogon binotatus ,5.372,4.055,2,,3.35,"Poey, 1867",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-352-682,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Apogonidae,Apogon,,binotatus,,,Apogon binotatus ,5.127,4.149,2,,3.34,"Poey, 1867",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-352-681,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Apogonidae,Apogon,,binotatus,,,Apogon binotatus ,5.334,4.152,2,,3.41,"Poey, 1867",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-352-680,2017,Recent,Caribbean,Bocas del Toro,Airport Point,Perciformes,Apogonidae,Apogon,,binotatus,,,Apogon binotatus ,5.965,4.545,1,,3.88,"Poey, 1867",Chien-Hsiang Lin,Chien-Hsiang Lin
OTO-352-12,2013,Recent,Caribbean,Colón,Punta Galeta,Perciformes,Apogonidae,Apogon,,maculatus,,,Apogon maculatus ,5,,2,,,"Poey, 1860",Desconocido,Maria Concepcion
OTO-352-13,2013,Recent,Caribbean,Colón,Punta Galeta,Perciformes,Apogonidae,Astrapogon,,stellatus,,,Astrapogon stellatus ,3.9,,2,,,"Cope, 1867",Desconocido,Maria Concepcion
OTO-352-14,2013,Recent,Caribbean,Colón,Punta Galeta,Perciformes,Apogonidae,Astrapogon,,stellatus,,,Astrapogon stellatus ,2.8,,2,,,"Cope, 1867",Desconocido,Maria Concepcion
OTO-352-15,2013,Recent,Caribbean,Colón,Punta Galeta,Perciformes,Apogonidae,Astrapogon,,stellatus,,,Astrapogon stellatus ,2,,2,,,"Cope, 1867",Desconocido,Maria Concepcion
OTO-352-332,2016,Recent,Caribbean,Bocas del Toro,Stri Point,Perciformes,Apogonidae,Apogon,,binotatus,,,Apogon binotatus ,5.5,,2,,,"Poey, 1867",Brigida De Gracia,Brigida de Gracia
OTO-156-413,2016,Recent,Pacific,Cocle/Herrera,Bahía de Parita,Siluriformes,Ariidae,Bagre,,pinnimaculatus,,,Bagre pinnimaculatus ,42.2,32,2,,,"Steindachner, 1877",Maximo Jimenez,Brigida de Gracia
OTO-156-414,2016,Recent,Pacific,Cocle/Herrera,Bahía de Parita,Siluriformes,Ariidae,Bagre,,pinnimaculatus,,,Bagre pinnimaculatus ,44,44,2,,,"Steindachner, 1877",Maximo Jimenez,Brigida de Gracia
OTO-156-415,2016,Recent,Pacific,Cocle/Herrera,Bahía de Parita,Siluriformes,Ariidae,Notarius,,kesslery,,,Notarius kesslery ,55.6,46.2,2,,,"Steindachner, 1877",Maximo Jimenez,Brigida de Gracia
OTO-251-10,2013,Recent,Caribbean,Colón,Punta Galeta,Atheriniformes,Atherinidae,Atherinomorus,,stipes,,,Atherinomorus stipes ,6.3,,2,,,"Müller & Troschel en Schomburgk, 1848",Desconocido,Maria Concepcion
OTO-251-11,2013,Recent,Caribbean,Colón,Punta Galeta,Atheriniformes,Atherinidae,Atherinomorus,,stipes,,,Atherinomorus stipes ,5,,2,,,"Müller & Troschel en Schomburgk, 1848",Desconocido,Maria Concepcion
OTO-251-327,2015,Recent,Caribbean,Bocas del Toro,Bahia Kusapín,Atheriniformes,Atherinidae,Atherinomorus,,stipes,,,Atherinomorus stipes ,3.7,,2,,,"Müller & Troschel en Schomburgk, 1848",Brigida De Gracia,Brigida de Gracia
OTO-251-328,2015,Recent,Caribbean,Bocas del Toro,Bahia Kusapín,Atheriniformes,Atherinidae,Atherinomorus,,stipes,,,Atherinomorus stipes ,4.7,,2,,,"Müller & Troschel en Schomburgk, 1848",Brigida De Gracia,Brigida de Gracia
OTO-251-329,2016,Recent,Caribbean,Bocas del Toro,Bahía Kusapín,Atheriniformes,Atherinidae,Atherinomorus,,stipes,,,Atherinomorus stipes ,4.9,,2,,,"Müller & Troschel en Schomburgk, 1854",Brigida De Gracia,Brigida de Gracia
OTO-251-330,2016,Recent,Caribbean,Bocas del Toro,Bahía Kusapín,Atheriniformes,Atherinidae,Atherinomorus,,stipes,,,Atherinomorus stipes ,4.8,,2,,,"Müller & Troschel en Schomburgk, 1848",Brigida De Gracia,Brigida de Gracia
OTO-251-358,2014,Recent,Caribbean,Bocas del Toro,Bocas del Toro,Atheriniformes,Atherinidae,Atherinomorus,cf.,stipes,,cf.,cf.Atherinomorus cf.stipes ,,,2,,,,,Darlenis Cedeño
OTO-251-359,2014,Recent,Caribbean,Bocas del Toro,Bocas del Toro,Atheriniformes,Atherinidae,Hypoatherina,cf.,harringtonensis,,cf.,cf.Hypoatherina cf.harringtonensis ,,,2,,,"Goode, 1877",Darlenis Cedeño,Darlenis Cedeño
OTO-251-360,2014,Recent,Caribbean,Bocas del Toro,Bocas del Toro,Atheriniformes,Atherinidae,Atherinomorus,cf.,stipes,,cf.,cf.Atherinomorus cf.stipes ,,,2,,,,,Darlenis Cedeño
OTO-251-361,2014,Recent,Caribbean,Bocas del Toro,Bocas del Toro,Atheriniformes,Atherinidae,Atherinomorus,cf.,stipes,,cf.,cf.Atherinomorus cf.stipes ,,,2,,,,,Darlenis Cedeño
OTO-251-362,2014,Recent,Caribbean,Bocas del Toro,Bocas del Toro,Atheriniformes,Atherinidae,Atherinomorus,cf.,stipes,,cf.,cf.Atherinomorus cf.stipes ,,,2,,,,,Darlenis Cedeño
OTO-251-363,2014,Recent,Caribbean,Bocas del Toro,Bocas del Toro,Atheriniformes,Atherinidae,Atherinomorus,cf.,stipes,,cf.,cf.Atherinomorus cf.stipes ,,,2,,,,,Darlenis Cedeño
OTO-251-364,2014,Recent,Caribbean,Bocas del Toro,Bocas del Toro,Atheriniformes,Atherinidae,Atherinomorus,cf.,stipes,,cf.,cf.Atherinomorus cf.stipes ,,,2,,,,,Darlenis Cedeño
OTO-251-365,2014,Recent,Caribbean,Bocas del Toro,Bocas del Toro,Atheriniformes,Atherinidae,Atherinomorus,cf.,stipes,,cf.,cf.Atherinomorus cf.stipes ,,,2,,,,,Darlenis Cedeño
OTO-251-392,2016,Recent,Caribbean,Bocas del Toro,Bocas del Toro,Atheriniformes,Atherinidae,Atherinomorus,,stipes,,,Atherinomorus stipes ,4.9,,2,,,"Müller & Troschel en Schomburgk, 1848",Orangel Aguilerara/Felix Rodriguez,Brigida de Gracia
OTO-251-394,2016,Recent,Caribbean,Bocas del Toro,Bocas del Toro,Atheriniformes,Atherinidae,Atherinomorus,,stipes,,,Atherinomorus stipes ,4.4,,2,,,"Müller & Troschel en Schomburgk, 1848",Orangel Aguilerara/Felix Rodriguez,Brigida de Gracia
OTO-251-8,2013,Recent,Caribbean,Colón,Punta Galeta,Atheriniformes,Atherinidae,Atherinomorus,,stipes,,,Atherinomorus stipes ,5.9,,2,,,"Müller & Troschel en Schomburgk, 1848",Desconocido,Maria Concepcion
OTO-251-9,2013,Recent,Caribbean,Colón,Punta Galeta,Atheriniformes,Atherinidae,Atherinomorus,,stipes,,,Atherinomorus stipes ,6.2,,1,,,"Müller & Troschel en Schomburgk, 1848",Desconocido,Maria Concepcion
,,Recent,Caribbean,Bocas del Toro,,Atheriniformes,Atherinidae,Atherinomorus,,stipes,,,Atherinomorus stipes,6.539,5.195,1,,2.89,,Brigida De Gracia,Aaron O'Dea
,,Recent,Caribbean,Bocas del Toro,,Atheriniformes,Atherinidae,Atherinomorus,,stipes,,,Atherinomorus stipes,6.594,5.318,1,,2.88,,Brigida De Gracia,Aaron O'Dea
,,Recent,Caribbean,Bocas del Toro,,Atheriniformes,Atherinidae,Atherinomorus,,stipes,,,Atherinomorus stipes,6.721,5.688,1,,2.98,,Brigida De Gracia,Aaron O'Dea
,,Recent,Caribbean,Bocas del Toro,,Atheriniformes,Atherinidae,Atherinomorus,,stipes,,,Atherinomorus stipes,7.066,5.802,1,,3.22,,Brigida De Gracia,Aaron O'Dea
,,Recent,Caribbean,Bocas del Toro,,Atheriniformes,Atherinidae,Atherinomorus,,stipes,,,Atherinomorus stipes,6.445,5.385,1,,2.72,,Brigida De Gracia,Aaron O'Dea
,,Recent,Caribbean,Bocas del Toro,,Atheriniformes,Atherinidae,Atherinomorus,,stipes,,,Atherinomorus stipes,6.324,5.138,1,,2.91,,Brigida De Gracia,Aaron O'Dea
,,Recent,Caribbean,Bocas del Toro,,Atheriniformes,Atherinidae,Atherinomorus,,stipes,,,Atherinomorus stipes,6.541,5.304,1,,2.93,,Brigida De Gracia,Aaron O'Dea
,,Recent,Caribbean,Bocas del Toro,,Atheriniformes,Atherinidae,Atherinomorus,,stipes,,,Atherinomorus stipes,6.015,4.942,1,,2.63,,Brigida De Gracia,Aaron O'Dea
,,Recent,Caribbean,Bocas del Toro,,Atheriniformes,Atherinidae,Atherinomorus,,stipes,,,Atherinomorus stipes,5.851,4.669,1,,2.6,,Brigida De Gracia,Aaron O'Dea
,,Recent,Caribbean,Bocas del Toro,,Atheriniformes,Atherinidae,Atherinomorus,,stipes,,,Atherinomorus stipes,5.191,4.114,1,,2.49,,Brigida De Gracia,Aaron O'Dea
,,Recent,Caribbean,Bocas del Toro,,Atheriniformes,Atherinidae,Atherinomorus,,stipes,,,Atherinomorus stipes,6.164,5.114,1,,2.76,,Brigida De Gracia,Aaron O'Dea
,,Recent,Caribbean,Bocas del Toro,,Atheriniformes,Atherinidae,Atherinomorus,,stipes,,,Atherinomorus stipes,6.351,5.144,1,,2.8,,Brigida De Gracia,Aaron O'Dea
,,Recent,Caribbean,Bocas del Toro,,Atheriniformes,Atherinidae,Atherinomorus,,stipes,,,Atherinomorus stipes,6.545,5.345,1,,2.85,,Brigida De Gracia,Aaron O'Dea
,,Recent,Caribbean,Bocas del Toro,,Atheriniformes,Atherinidae,Atherinomorus,,stipes,,,Atherinomorus stipes,5.408,4.409,1,,2.41,,Brigida De Gracia,Aaron O'Dea
,,Recent,Caribbean,Bocas del Toro,,Atheriniformes,Atherinidae,Atherinomorus,,stipes,,,Atherinomorus stipes,5.375,4.358,1,,2.45,,Brigida De Gracia,Aaron O'Dea
,,Recent,Caribbean,Bocas del Toro,,Atheriniformes,Atherinidae,Atherinomorus,,stipes,,,Atherinomorus stipes,5.713,4.589,1,,2.51,,Brigida De Gracia,Aaron O'Dea
,,Recent,Caribbean,Bocas del Toro,,Atheriniformes,Atherinidae,Atherinomorus,,stipes,,,Atherinomorus stipes,5.172,4.081,1,,2.14,,Brigida De Gracia,Aaron O'Dea
,,Recent,Caribbean,Bocas del Toro,,Atheriniformes,Atherinidae,Atherinomorus,,stipes,,,Atherinomorus stipes,5.873,4.743,1,,2.63,,Brigida De Gracia,Aaron O'Dea
,,Recent,Caribbean,Bocas del Toro,,Atheriniformes,Atherinidae,Atherinomorus,,stipes,,,Atherinomorus stipes,5.729,4.705,1,,2.61,,Brigida De Gracia,Aaron O'Dea
,,Recent,Caribbean,Bocas del Toro,,Atheriniformes,Atherinidae,Atherinomorus,,stipes,,,Atherinomorus stipes,4.883,3.895,1,,2.33,,Brigida De Gracia,Aaron O'Dea
,,Recent,Caribbean,Bocas del Toro,,Atheriniformes,Atherinidae,Atherinomorus,,stipes,,,Atherinomorus stipes,5.008,4.094,1,,2.3,,Brigida De Gracia,Aaron O'Dea
,,Recent,Caribbean,Bocas del Toro,,Atheriniformes,Atherinidae,Atherinomorus,,stipes,,,Atherinomorus stipes,5.884,4.698,1,,2.61,,Brigida De Gracia,Aaron O'Dea
,,Recent,Caribbean,Bocas del Toro,,Atheriniformes,Atherinidae,Atherinomorus,,stipes,,,Atherinomorus stipes,6.399,5.135,1,,2.99,,Brigida De Gracia,Aaron O'Dea
,,Recent,Caribbean,Bocas del Toro,,Atheriniformes,Atherinidae,Atherinomorus,,stipes,,,Atherinomorus stipes,6.602,5.281,1,,3.14,,Brigida De Gracia,Aaron O'Dea
,,Recent,Caribbean,Bocas del Toro,,Atheriniformes,Atherinidae,Atherinomorus,,stipes,,,Atherinomorus stipes,5.913,4.83,1,,2.48,,Brigida De Gracia,Aaron O'Dea
,,Recent,Caribbean,Bocas del Toro,,Atheriniformes,Atherinidae,Atherinomorus,,stipes,,,Atherinomorus stipes,4.662,3.807,1,,2.1,,Brigida De Gracia,Aaron O'Dea
,,Recent,Caribbean,Bocas del Toro,,Atheriniformes,Atherinidae,Atherinomorus,,stipes,,,Atherinomorus stipes,4.837,3.951,1,,2.21,,Brigida De Gracia,Aaron O'Dea
,,Recent,Caribbean,Bocas del Toro,,Atheriniformes,Atherinidae,Atherinomorus,,stipes,,,Atherinomorus stipes,4.984,4.072,1,,2.15,,Brigida De Gracia,Aaron O'Dea
,,Recent,Caribbean,Bocas del Toro,,Atheriniformes,Atherinidae,Atherinomorus,,stipes,,,Atherinomorus stipes,5.982,4.819,1,,2.75,,Brigida De Gracia,Aaron O'Dea
,,Recent,Caribbean,Bocas del Toro,,Atheriniformes,Atherinidae,Atherinomorus,,stipes,,,Atherinomorus stipes,4.904,4.035,1,,2.22,,Brigida De Gracia,Aaron O'Dea
,,Recent,Caribbean,Bocas del Toro,,Atheriniformes,Atherinidae,Atherinomorus,,stipes,,,Atherinomorus stipes,5.573,4.535,1,,2.45,,Brigida De Gracia,Aaron O'Dea
,,Recent,Caribbean,Bocas del Toro,,Atheriniformes,Atherinidae,Atherinomorus,,stipes,,,Atherinomorus stipes,6.08,4.982,1,,2.7,,Brigida De Gracia,Aaron O'Dea
,,Recent,Caribbean,Bocas del Toro,,Atheriniformes,Atherinidae,Atherinomorus,,stipes,,,Atherinomorus stipes,5.506,4.603,1,,2.6,,Brigida De Gracia,Aaron O'Dea
,,Recent,Caribbean,Bocas del Toro,,Atheriniformes,Atherinidae,Atherinomorus,,stipes,,,Atherinomorus stipes,4.589,3.785,1,,2.22,,Brigida De Gracia,Aaron O'Dea
,,Recent,Caribbean,Bocas del Toro,,Atheriniformes,Atherinidae,Atherinomorus,,stipes,,,Atherinomorus stipes,6.036,4.922,1,,2.58,,Brigida De Gracia,Aaron O'Dea
,,Recent,Caribbean,Bocas del Toro,,Atheriniformes,Atherinidae,Atherinomorus,,stipes,,,Atherinomorus stipes,6.251,4.965,1,,2.72,,Brigida De Gracia,Aaron O'Dea
,,Recent,Caribbean,Bocas del Toro,,Atheriniformes,Atherinidae,Atherinomorus,,stipes,,,Atherinomorus stipes,5.851,4.682,1,,2.6,,Brigida De Gracia,Aaron O'Dea
,,Recent,Caribbean,Bocas del Toro,,Atheriniformes,Atherinidae,Atherinomorus,,stipes,,,Atherinomorus stipes,4.522,3.672,1,,2.1,,Brigida De Gracia,Aaron O'Dea
,,Recent,Caribbean,Bocas del Toro,,Atheriniformes,Atherinidae,Atherinomorus,,stipes,,,Atherinomorus stipes,4.552,3.814,1,,2.18,,Brigida De Gracia,Aaron O'Dea
,,Recent,Caribbean,Bocas del Toro,,Atheriniformes,Atherinidae,Atherinomorus,,stipes,,,Atherinomorus stipes,4.877,3.922,1,,2.09,,Brigida De Gracia,Aaron O'Dea
,,Recent,Caribbean,Bocas del Toro,,Atheriniformes,Atherinidae,Atherinomorus,,stipes,,,Atherinomorus stipes,5.288,4.321,1,,2.45,,Brigida De Gracia,Aaron O'Dea
,,Recent,Caribbean,Bocas del Toro,,Atheriniformes,Atherinidae,Atherinomorus,,stipes,,,Atherinomorus stipes,5.196,4.143,1,,2.5,,Brigida De Gracia,Aaron O'Dea
,,Recent,Caribbean,Bocas del Toro,,Atheriniformes,Atherinidae,Atherinomorus,,stipes,,,Atherinomorus stipes,5.973,4.829,1,,2.68,,Brigida De Gracia,Aaron O'Dea
,,Recent,Caribbean,Bocas del Toro,,Atheriniformes,Atherinidae,Atherinomorus,,stipes,,,Atherinomorus stipes,4.081,3.421,1,,1.9,,Brigida De Gracia,Aaron O'Dea
,,Recent,Caribbean,Bocas del Toro,,Atheriniformes,Atherinidae,Atherinomorus,,stipes,,,Atherinomorus stipes,4.738,3.8,1,,2.11,,Brigida De Gracia,Aaron O'Dea
,,Recent,Caribbean,Bocas del Toro,,Atheriniformes,Atherinidae,Atherinomorus,,stipes,,,Atherinomorus stipes,4.383,3.531,1,,1.91,,Brigida De Gracia,Aaron O'Dea
