Collection_Number,Order,Family,genus,species,Complete_name,Ocean,Site,Locality,standard_length_mm,total_length_mm,standard_length_cm,total_length_cm,mass_g,Otolith_length_mm,right otolith length mm,right_Otolith_width_mm,right_Otolith_mass_g,Collection,Collector,Compiler
CAMLANIV16,Perciformes,Lutjanidae,Lutjanus,analis,Lutjanus analis,Caribbean,South-western Atlantic.,,125,162,12.5,16.2,62.55,6.97,6.97,4.17,0.0342,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
CAMLANIV17,Perciformes,Lutjanidae,Lutjanus,analis,Lutjanus analis,Caribbean,South-western Atlantic.,,115,150,11.5,15,50.3,7.01,7.01,4.26,0.0324,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
CAMLANIV18,Perciformes,Lutjanidae,Lutjanus,analis,Lutjanus analis,Caribbean,South-western Atlantic.,,112,147,11.2,14.7,47.84,6.46,6.46,4.05,0.0308,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
CAMLANIV19,Perciformes,Lutjanidae,Lutjanus,analis,Lutjanus analis,Caribbean,South-western Atlantic.,,102,136,10.2,13.6,38.59,6.04,6.04,3.77,0.0272,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
CAMLANIV20,Perciformes,Lutjanidae,Lutjanus,analis,Lutjanus analis,Caribbean,South-western Atlantic.,,100,130,10,13,34.83,5.99,5.99,3.7,0.0252,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
CAMLANIV21,Perciformes,Lutjanidae,Lutjanus,analis,Lutjanus analis,Caribbean,South-western Atlantic.,,104,132,10.4,13.2,35.02,6.09,6.09,3.69,0.0236,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
CAMLANIV22,Perciformes,Lutjanidae,Lutjanus,analis,Lutjanus analis,Caribbean,South-western Atlantic.,,97,128,9.7,12.8,31.58,5.74,5.74,3.31,0.0224,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
CAMLANIV23,Perciformes,Lutjanidae,Lutjanus,analis,Lutjanus analis,Caribbean,South-western Atlantic.,,91,118,9.1,11.8,27.92,5.6,5.6,3.47,0.0198,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
CAMLANIV24,Perciformes,Lutjanidae,Lutjanus,analis,Lutjanus analis,Caribbean,South-western Atlantic.,,95,127,9.5,12.7,30.32,5.72,5.72,3.62,0.0205,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
CAMLANIV25,Perciformes,Lutjanidae,Lutjanus,analis,Lutjanus analis,Caribbean,South-western Atlantic.,,103,134,10.3,13.4,35.94,6.09,6.09,3.71,0.0258,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
CAMLANIV27,Perciformes,Lutjanidae,Lutjanus,analis,Lutjanus analis,Caribbean,South-western Atlantic.,,85,100,8.5,10,18.2,4.98,4.98,3.13,0.0145,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
CAMLANIV28,Perciformes,Lutjanidae,Lutjanus,analis,Lutjanus analis,Caribbean,South-western Atlantic.,,86,110,8.6,11,21.44,5.2,5.2,3.12,0.0157,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
CAMLANIV29,Perciformes,Lutjanidae,Lutjanus,analis,Lutjanus analis,Caribbean,South-western Atlantic.,,71,93,7.1,9.3,13.04,4.63,4.63,2.81,0.011,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
CAMLANIV31,Perciformes,Lutjanidae,Lutjanus,analis,Lutjanus analis,Caribbean,South-western Atlantic.,,69,88,6.9,8.8,10.42,4.25,4.25,2.58,0.0082,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
CAMLANIV32,Perciformes,Lutjanidae,Lutjanus,analis,Lutjanus analis,Caribbean,South-western Atlantic.,,193,250,19.3,25,207.15,9.42,9.42,6.26,0.0951,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
CAMLANIV33,Perciformes,Lutjanidae,Lutjanus,analis,Lutjanus analis,Caribbean,South-western Atlantic.,,182,241,18.2,24.1,199.16,9.79,9.79,6.2,0.1032,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
CAMLANIV34,Perciformes,Lutjanidae,Lutjanus,analis,Lutjanus analis,Caribbean,South-western Atlantic.,,185,240,18.5,24,194.93,9.34,9.34,6.24,0.0911,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
CAMLANIV35,Perciformes,Lutjanidae,Lutjanus,analis,Lutjanus analis,Caribbean,South-western Atlantic.,,175,225,17.5,22.5,158.48,9.39,9.39,5.89,0.0867,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
CAMLANIV36,Perciformes,Lutjanidae,Lutjanus,analis,Lutjanus analis,Caribbean,South-western Atlantic.,,165,214,16.5,21.4,146.8,8.43,8.43,5.57,0.0666,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
CAMLANIV37,Perciformes,Lutjanidae,Lutjanus,analis,Lutjanus analis,Caribbean,South-western Atlantic.,,158,207,15.8,20.7,135.96,8.16,8.16,5.25,0.0619,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
CAMLANIV38,Perciformes,Lutjanidae,Lutjanus,analis,Lutjanus analis,Caribbean,South-western Atlantic.,,168,222,16.8,22.2,168.39,9.41,9.41,5.56,0.0832,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
CAMLANIV39,Perciformes,Lutjanidae,Lutjanus,analis,Lutjanus analis,Caribbean,South-western Atlantic.,,137,182,13.7,18.2,85.26,7.25,7.25,4.75,0.0478,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
CAMLANIV40,Perciformes,Lutjanidae,Lutjanus,analis,Lutjanus analis,Caribbean,South-western Atlantic.,,153,202,15.3,20.2,112.56,8.15,8.15,5.06,0.0562,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
